wavelength,flux,flux_error
1.241192,8.912787e-16,1.5258127e-17
1.2440617,9.170169e-16,1.4119189e-17
1.2469323,9.788797e-16,1.425713e-17
1.2498037,1.0179071e-15,1.4453767e-17
1.2526759,1.0940402e-15,1.5900597e-17
1.255549,1.1307857e-15,1.748954e-17
1.2584226,1.1734527e-15,1.944114e-17
1.261297,1.2042368e-15,2.2799457e-17
1.264172,1.2446404e-15,2.6312038e-17
1.2670474,1.2402658e-15,2.8750604e-17
1.2699234,1.2661086e-15,3.0493692e-17
1.2727998,1.2123096e-15,3.1309104e-17
1.2756767,1.2299005e-15,3.0639415e-17
1.2785538,1.1725985e-15,2.7648464e-17
1.2814313,1.0814971e-15,2.5325155e-17
1.284309,1.0229198e-15,2.3162175e-17
1.287187,9.464106e-16,2.0798747e-17
1.290065,8.861585e-16,1.9005755e-17
1.2929432,8.8468637e-16,1.8540527e-17
1.2958214,8.0523764e-16,1.8654068e-17
1.2986997,7.4975624e-16,1.7465953e-17
1.3015779,6.9172834e-16,1.7234771e-17
1.304456,6.5466187e-16,1.736414e-17
1.3073341,5.6305493e-16,1.7062827e-17
1.3102118,4.9883104e-16,1.6342864e-17
1.3130894,4.558204e-16,1.5589234e-17
1.3159667,4.524164e-16,1.4827894e-17
1.3188437,3.9736708e-16,1.3799533e-17
1.3217204,3.607719e-16,1.30144354e-17
1.3245965,2.8388505e-16,1.1946363e-17
1.3274723,2.2012727e-16,1.11825745e-17
1.3303477,1.7176718e-16,1.03864975e-17
1.3332224,1.0747911e-16,9.111976e-18
1.3360965,5.5377767e-17,9.03058e-18
1.3389701,4.0488324e-17,8.559291e-18
1.341843,1.9997437e-17,8.377786e-18
1.3447152,1.5772263e-17,9.014282e-18
1.3475866,9.659725e-18,1.05458315e-17
1.3504573,2.016918e-17,1.1645583e-17
1.3533272,1.7552127e-18,1.5186086e-17
1.3561962,-9.124513e-18,2.1139413e-17
1.3590642,-5.8476044e-17,3.1932193e-17
1.3619313,1.4171639e-17,4.4722542e-17
1.3647975,-6.307246e-17,7.154676e-17
1.3676625,1.2230825e-16,6.906155e-17
1.3705266,2.0726277e-17,5.8752826e-17
1.3733896,9.806372e-18,4.3203362e-17
1.3762513,-3.0942153e-17,3.9565422e-17
1.379112,3.6087432e-17,4.1292254e-17
1.3819715,-4.6642498e-17,4.6954947e-17
1.3848296,-9.011273e-18,4.620972e-17
1.3876866,-3.5917084e-19,4.1474283e-17
1.3905421,3.9305472e-17,4.2039665e-17
1.3933964,8.203549e-18,4.0253583e-17
1.3962493,7.4175046e-17,4.3060766e-17
1.3991008,-7.6085474e-19,4.649514e-17
1.4019507,-1.0555746e-16,4.7838264e-17
1.4047992,5.5016583e-17,4.928305e-17
1.4076462,-2.2820856e-17,4.5342686e-17
1.4104916,3.134494e-18,4.157654e-17
1.4133354,8.754953e-18,3.8358026e-17
1.4161777,5.0694165e-18,3.4717965e-17
1.4190183,4.5611748e-17,2.9753167e-17
1.4218571,-1.8713255e-18,2.6065439e-17
1.4246944,5.629751e-17,2.1017544e-17
1.4275298,1.9622812e-17,2.0039028e-17
1.4303635,3.524722e-17,2.0321778e-17
1.4331954,7.2015874e-18,2.1052984e-17
1.4360254,3.070617e-17,1.9679997e-17
1.4388536,6.1969183e-18,1.8095393e-17
1.44168,-1.2878636e-17,1.703998e-17
1.4445044,1.6507498e-17,1.8056003e-17
1.4473268,2.81102e-17,2.0554858e-17
1.4501473,6.1166314e-17,2.1307895e-17
1.4529657,6.058944e-17,2.1533377e-17
1.4557823,5.849033e-17,2.2795437e-17
1.4585967,6.124207e-17,2.1355408e-17
1.4614091,6.702147e-17,1.98069e-17
1.4642193,8.9328253e-17,1.9781351e-17
1.4670274,9.337028e-17,2.0383922e-17
1.4698334,5.597391e-17,1.8658973e-17
1.4726373,6.701426e-17,1.9183743e-17
1.4754388,7.463441e-17,2.056628e-17
1.4782383,1.1328958e-16,2.090203e-17
1.4810355,7.821773e-17,2.162526e-17
1.4838303,7.648734e-17,2.3145132e-17
1.486623,7.6433236e-17,2.192634e-17
1.4894134,1.2245856e-16,2.0852753e-17
1.4922013,1.180681e-16,1.834028e-17
1.494987,1.3894706e-16,1.617057e-17
1.4977703,1.2857207e-16,1.6170248e-17
1.5005512,1.1708821e-16,2.130857e-17
1.5033296,1.5239864e-16,2.323095e-17
1.5061058,1.8515616e-16,2.4120504e-17
1.5088793,1.5499589e-16,2.3142131e-17
1.5116506,1.7449578e-16,2.269424e-17
1.5144192,1.92753e-16,1.8435991e-17
1.5171853,2.0346987e-16,1.6276559e-17
1.519949,1.9738691e-16,1.7945215e-17
1.5227101,2.1212062e-16,1.9284846e-17
1.5254687,2.7578157e-16,2.0442872e-17
1.5282247,2.9834875e-16,2.2953802e-17
1.5309781,3.0255723e-16,2.2354735e-17
1.533729,3.1432628e-16,2.1364318e-17
1.5364771,3.5263342e-16,2.1422989e-17
1.5392227,3.627058e-16,2.1376868e-17
1.5419656,4.3043242e-16,2.0018352e-17
1.5447059,4.2140665e-16,1.8621488e-17
1.5474435,4.501348e-16,1.8588889e-17
1.5501784,4.78049e-16,1.8975121e-17
1.5529107,4.9930374e-16,1.839469e-17
1.5556401,5.403419e-16,1.9443858e-17
1.5583669,5.299925e-16,2.031615e-17
1.561091,5.6233496e-16,2.1041179e-17
1.5638123,6.2042675e-16,2.085847e-17
1.5665308,6.33088e-16,2.0412242e-17
1.5692465,6.439315e-16,2.0156873e-17
1.5719596,6.702934e-16,1.9427667e-17
1.5746697,6.7935266e-16,1.8834405e-17
1.5773772,7.0339453e-16,2.2785077e-17
1.5800817,7.450875e-16,2.6664443e-17
1.5827835,7.642252e-16,2.809534e-17
1.5854825,7.2146116e-16,2.7947905e-17
1.5881785,7.217758e-16,2.740484e-17
1.5908718,6.520273e-16,2.4491174e-17
1.5935621,6.501089e-16,1.946266e-17
1.5962497,6.2805015e-16,1.8805648e-17
1.5989343,5.3407905e-16,2.0564236e-17
1.6016161,4.3826194e-16,2.1031537e-17
1.604295,4.1187856e-16,2.2588082e-17
1.606971,3.1497293e-16,2.3501291e-17
1.6096442,2.4175702e-16,2.4245721e-17
1.6123143,2.2850043e-16,2.1891267e-17
1.6149817,1.5564193e-16,2.0703633e-17
1.617646,1.3140825e-16,2.2258744e-17
1.6203074,1.5604242e-16,2.1179912e-17
1.6229659,1.0552981e-16,1.886833e-17
1.6256216,1.0165868e-16,1.8143954e-17
1.6282742,3.503759e-17,1.7683608e-17
1.630924,6.493628e-17,1.7515324e-17
1.6335708,6.837445e-17,1.6181757e-17
1.6362146,5.0088026e-17,1.5981948e-17
1.6388555,7.216232e-17,1.723835e-17
1.6414934,6.336308e-17,1.7072219e-17
1.6441284,9.849455e-17,1.79086e-17
1.6467605,7.391337e-17,1.8250187e-17
1.6493895,8.58809e-17,1.843713e-17
1.6520157,1.0851642e-16,1.7905385e-17
1.6546389,8.379338e-17,1.6193667e-17
1.657259,1.0314423e-16,1.4184033e-17
1.6598762,1.1269159e-16,1.1730585e-17
1.6624905,7.8303895e-17,1.3555538e-17
1.6651019,9.337396e-17,1.948366e-17
1.6677102,7.0229116e-17,2.2141329e-17
1.6703155,4.1148262e-17,2.283364e-17
1.672918,5.1708542e-17,2.220899e-17
1.6755174,2.9124523e-17,2.1392272e-17
1.6781139,3.6595317e-17,1.6472615e-17
1.6807075,6.500807e-17,1.2582251e-17
1.683298,8.306122e-17,1.23491175e-17
1.6858855,9.4276256e-17,1.643666e-17
1.6884702,7.752281e-17,1.8039163e-17
1.6910518,6.238844e-17,1.9760423e-17
1.6936306,5.3336454e-17,2.0165975e-17
1.6962063,5.643991e-17,2.2187939e-17
1.6987792,4.7233727e-17,2.1407178e-17
1.7013491,1.992187e-17,1.9981147e-17
1.7039161,5.5306698e-18,1.9813768e-17
1.70648,5.303297e-17,2.0213584e-17
1.709041,4.2951972e-17,1.9458324e-17
1.7115991,4.2281655e-17,1.8558273e-17
1.7141544,8.171246e-17,1.7668652e-17
1.7167066,8.922396e-17,1.6911549e-17
1.7192559,8.1595657e-17,1.633411e-17
1.7218024,9.2874324e-17,1.5825593e-17
1.7243458,7.541938e-17,1.5532056e-17
1.7268864,7.666946e-17,1.5853127e-17
1.7294241,8.642305e-17,1.6200182e-17
1.7319589,6.903651e-17,1.5812983e-17
1.7344908,6.4961405e-17,1.6282086e-17
1.7370198,8.114168e-17,1.7325839e-17
1.7395458,6.718273e-17,1.8694846e-17
1.742069,7.697396e-17,1.8962765e-17
1.7445894,3.9615357e-17,1.8239154e-17
1.7471069,3.4547883e-17,1.7593028e-17
1.7496215,5.345925e-17,1.5536409e-17
1.7521333,6.333409e-17,1.3561429e-17
1.7546421,7.18946e-17,1.1388274e-17
1.7571481,6.559841e-17,1.16118465e-17
1.7596514,5.5307496e-17,1.5089066e-17
1.7621518,7.14828e-17,2.1444935e-17
1.7646494,6.3759446e-17,2.4393639e-17
1.7671441,6.7965546e-17,2.4148021e-17
1.769636,1.00748865e-16,2.4968687e-17
1.7721251,1.0636343e-16,2.1693482e-17
1.7746115,7.050779e-17,1.539245e-17
1.7770951,7.7759616e-17,1.242472e-17
1.7795758,6.179037e-17,1.16404404e-17
1.7820538,7.113874e-17,1.5204625e-17
1.7845291,4.2226965e-17,2.0002948e-17
1.7870015,8.921787e-17,2.1064292e-17
1.7894713,9.007327e-18,2.0032672e-17
1.7919382,3.1112695e-17,2.0433547e-17
1.7944024,5.3882323e-17,2.4772908e-17
1.7968639,8.7452155e-17,2.542023e-17
1.7993227,2.0841924e-17,2.5938941e-17
1.8017788,3.5836108e-17,2.928052e-17
1.8042321,5.649615e-17,3.0529698e-17
1.8066828,7.4390735e-17,3.1619045e-17
1.8091309,4.9216055e-17,2.8115717e-17
1.8115761,5.489284e-17,2.929411e-17
1.8140188,3.1706223e-17,3.0566782e-17
1.8164588,4.043073e-17,3.1071733e-17
1.8188962,3.1449138e-18,3.2621896e-17
1.8213309,5.4673965e-17,2.7772232e-17
1.8237629,3.0865024e-17,2.95155e-17
1.8261924,6.2315996e-17,4.121892e-17
1.8286192,7.110341e-17,4.245633e-17
1.8310435,-1.2462621e-17,5.830093e-17
1.8334651,2.8098985e-17,4.8646128e-17
1.8358841,5.863108e-17,1.0276672e-16
1.8383006,1.8863152e-16,3.8286186e-16
1.8407145,1.1902827e-16,2.1256138e-16
1.8431258,1.0190762e-16,9.540836e-17
1.8455346,1.8891278e-16,1.3728286e-16
1.8479408,1.5836177e-16,8.804355e-17
1.8503445,-2.565954e-16,1.2413808e-15
1.8527457,3.200026e-17,2.353836e-16
1.8551444,3.165945e-17,1.2036715e-16
1.8575405,-7.2097314e-17,1.9145368e-16
1.8599342,7.760225e-17,8.523838e-17
1.8623254,1.3423946e-17,4.6965198e-17
1.8647141,-7.477736e-18,6.851339e-17
1.8671004,-1.8452693e-16,1.4398978e-16
1.8694841,-2.408484e-16,5.1261423e-16
1.8718654,-2.3295923e-16,2.5454227e-16
1.8742443,4.0266353e-16,2.2112826e-15
1.8766208,9.5750815e-17,4.466647e-16
1.8789948,1.8016339e-16,1.2793351e-16
1.8813665,5.3398168e-17,8.870603e-17
1.8837357,7.845933e-17,5.63467e-17
1.8861026,4.5763946e-17,3.80095e-17
1.888467,3.7181547e-17,3.5112292e-17
1.8908291,3.6477772e-17,4.0551907e-17
1.8931887,6.2230776e-17,4.5393217e-17
1.8955461,7.0900324e-17,4.2845226e-17
1.897901,1.3683553e-16,4.9091346e-17
1.9002538,1.433568e-16,8.308825e-17
1.9026041,9.387631e-17,1.10772064e-16
1.9049522,2.2863336e-16,1.1851261e-16
1.9072978,1.0344822e-16,6.964027e-17
1.9096413,1.3110651e-16,8.91967e-17
1.9119823,9.0026864e-17,6.428757e-17
1.9143212,1.0791376e-16,5.2440604e-17
1.9166577,8.961011e-17,5.6993e-17
1.9189919,2.0991921e-16,6.318149e-17
1.921324,8.977266e-17,4.739353e-17
1.9236537,1.318558e-16,4.902956e-17
1.9259813,6.9330864e-17,5.288766e-17
1.9283065,2.8764832e-17,4.7870262e-17
1.9306296,-2.0991225e-17,4.5818682e-17
1.9329504,3.5990973e-17,3.2126504e-17
1.935269,2.6545642e-17,2.8443545e-17
1.9375855,2.980485e-17,2.8160914e-17
1.9398997,6.9227454e-17,2.5402296e-17
1.9422117,1.6591693e-17,1.85551e-17
1.9445215,3.5257306e-17,2.1117183e-17
1.9468293,9.893396e-17,2.2178436e-17
1.9491348,7.1059566e-17,2.113666e-17
1.9514382,2.1259645e-17,2.239283e-17
1.9537394,6.984336e-17,2.8664932e-17
1.9560385,7.5101786e-17,2.9993645e-17
1.9583355,1.09813884e-16,3.0198273e-17
1.9606303,7.463453e-17,2.799274e-17
1.962923,1.0835879e-16,2.7945347e-17
1.9652135,6.419332e-17,2.6987892e-17
